char,char,char,int,char,char,char,char,char,int
통신사,요금제 이름,기기,가격(원),데이터,영상통화,전화,메시지,특이사항,데이터2
KT,KT 5G 슈퍼플랜 베이직,5G,130000,무제한(최대 3Mbps 속도),300분,무제한,무제한,WIP 멤버십  기기요금 1회선 무료,500000
KT,KT 5G 슈퍼플랜 스페셜,5G,100000,무제한(최대100Kbps 속도),300분,무제한,무제한,WIP 멤버십  기기요금 1회선 무료,500000
KT,KT 5G 슈퍼플랜 프리미엄,5G,80000,무제한(최대100Kbps 속도),300분,무제한,무제한,VIP 멤버십,500000
KT,5G 슬림,5G,55000,8GB+무제한(최대 1Mbps 속도),300분,무제한,무제한,-,500000
KT,데이터ON 프리미엄,LTE,89000,무제한,300분,무제한,무제한,VIP 멤버십  기기요금 1회선 무료,500000
KT,데이터ON 비디오,LTE,69000,100GB+무제한(최대 5Mbps 속도),300분,무제한,무제한,VIP 멤버십,500000
KT,데이터ON 톡,LTE,49000,3GB+무제한(최대 1Mbps 속도),300분,무제한,무제한,-,500000
KT,YS24 ON 프리미엄,LTE,89000,무제한,300분,무제한,무제한,VIP 멤버십  기기요금 1회선 무료  프라임무비팩 50%할인,500000
KT,YS24 ON 비디오,LTE,69000,100GB+무제한(최대 5Mbps 속도),300분,무제한,무제한,VIP 멤버십  프라임무비팩 50%할인,500000
KT,YS24 ON 톡,LTE,49000,6GB+무제한(최대 1Mbps 속도),300분,무제한,무제한,프라임무비팩 50%할인,500000
KT,Y틴ON,LTE,33000,2GB+무제한(400kbps 속도),50분,무제한,무제한,만 18세 이하,500000
KT,Y 군인,LTE,33000,일2GB(최대 3Mbps),300분,무제한,무제한,프라임무비팩 50%할인,500000
KT,Y 베이직,LTE,33000,2GB+밀당,50분,무제한,무제한,전월 및 이월 데이터 100MB/500MB/1000MB 단위로 이용 가능,2000
KT,LTE 베이직,LTE,33000,1GB+밀당,50분,무제한,무제한,전월 및 이월 데이터 100MB/500MB/1000MB 단위로 이용 가능,1000
KT,Y틴 38,LTE,38390,무제한(최대 400Kbps 속도),-,-,일200건,설정 시 데이터 2배 이용(최대 2Mbps 속도),500000
